source_file,ein,org_name,website,phone,tax_year,address_line1,city,state,zip,full_address,person_name,person_title,person_hours_per_week,person_role_type
202502349349301450_public.xml,330427423,Rancho Bernardo High School Foundation,WWW.RBHSFOUNDATION.ORG,8584854800,2024,13010 Paseo Lucido,San Diego,CA,92128,"13010 Paseo Lucido, San Diego, CA, 92128",Denise Davis,Treasurer,,business_officer
202502349349301450_public.xml,330427423,Rancho Bernardo High School Foundation,WWW.RBHSFOUNDATION.ORG,8584854800,2024,13010 Paseo Lucido,San Diego,CA,92128,"13010 Paseo Lucido, San Diego, CA, 92128",Kurt Trecker,President,0.87,form_990_section_a
202502349349301450_public.xml,330427423,Rancho Bernardo High School Foundation,WWW.RBHSFOUNDATION.ORG,8584854800,2024,13010 Paseo Lucido,San Diego,CA,92128,"13010 Paseo Lucido, San Diego, CA, 92128",Jill Trecker,Vice President,0.83,form_990_section_a
202502349349301450_public.xml,330427423,Rancho Bernardo High School Foundation,WWW.RBHSFOUNDATION.ORG,8584854800,2024,13010 Paseo Lucido,San Diego,CA,92128,"13010 Paseo Lucido, San Diego, CA, 92128",Rhonda Ewald,Secretary,0.63,form_990_section_a
202502349349301450_public.xml,330427423,Rancho Bernardo High School Foundation,WWW.RBHSFOUNDATION.ORG,8584854800,2024,13010 Paseo Lucido,San Diego,CA,92128,"13010 Paseo Lucido, San Diego, CA, 92128",Denise Davis,Treasurer,5.37,form_990_section_a
202502349349301450_public.xml,330427423,Rancho Bernardo High School Foundation,WWW.RBHSFOUNDATION.ORG,8584854800,2024,13010 Paseo Lucido,San Diego,CA,92128,"13010 Paseo Lucido, San Diego, CA, 92128",Patty Tokushige,Co-Treasurer,2.10,form_990_section_a
202502349349301450_public.xml,330427423,Rancho Bernardo High School Foundation,WWW.RBHSFOUNDATION.ORG,8584854800,2024,13010 Paseo Lucido,San Diego,CA,92128,"13010 Paseo Lucido, San Diego, CA, 92128",Marc Lazernik,Member,0.17,form_990_section_a
202502349349301450_public.xml,330427423,Rancho Bernardo High School Foundation,WWW.RBHSFOUNDATION.ORG,8584854800,2024,13010 Paseo Lucido,San Diego,CA,92128,"13010 Paseo Lucido, San Diego, CA, 92128",Hans Becker,Principal,0.17,form_990_section_a
202502349349301450_public.xml,330427423,Rancho Bernardo High School Foundation,WWW.RBHSFOUNDATION.ORG,8584854800,2024,13010 Paseo Lucido,San Diego,CA,92128,"13010 Paseo Lucido, San Diego, CA, 92128",Peggy Brose,member,0.21,form_990_section_a
202502349349301450_public.xml,330427423,Rancho Bernardo High School Foundation,WWW.RBHSFOUNDATION.ORG,8584854800,2024,13010 Paseo Lucido,San Diego,CA,92128,"13010 Paseo Lucido, San Diego, CA, 92128",Dominic Spylios,ASB Director,0.25,form_990_section_a
202502349349301450_public.xml,330427423,Rancho Bernardo High School Foundation,WWW.RBHSFOUNDATION.ORG,8584854800,2024,13010 Paseo Lucido,San Diego,CA,92128,"13010 Paseo Lucido, San Diego, CA, 92128",Tracy Stowe,Athletic Direct,0.17,form_990_section_a
202502389349100745_public.xml,842255177,LAST JOURNEY FOUNDATION OF GREATER SAN DIEGO,N/A,6199920927,2024,11625 ALDERIDGE LANE,SAN DIEGO,CA,92131,"11625 ALDERIDGE LANE, SAN DIEGO, CA, 92131",DHIRU TANTOD,CEO,,business_officer
202502389349100745_public.xml,842255177,LAST JOURNEY FOUNDATION OF GREATER SAN DIEGO,N/A,6199920927,2024,11625 ALDERIDGE LANE,SAN DIEGO,CA,92131,"11625 ALDERIDGE LANE, SAN DIEGO, CA, 92131",DHIRU TANTOD,CEO,2.00,officer_director_trustee_key_employee
202502389349100745_public.xml,842255177,LAST JOURNEY FOUNDATION OF GREATER SAN DIEGO,N/A,6199920927,2024,11625 ALDERIDGE LANE,SAN DIEGO,CA,92131,"11625 ALDERIDGE LANE, SAN DIEGO, CA, 92131",BHARAT SHAH,CFO,2.00,officer_director_trustee_key_employee
202502389349100745_public.xml,842255177,LAST JOURNEY FOUNDATION OF GREATER SAN DIEGO,N/A,6199920927,2024,11625 ALDERIDGE LANE,SAN DIEGO,CA,92131,"11625 ALDERIDGE LANE, SAN DIEGO, CA, 92131",TUSHAR SHAH,SECRETARY,2.00,officer_director_trustee_key_employee
202502389349300135_public.xml,953010728,CENTRO CULTURAL DE LA RAZA INCORPORATED,centroculturaldelaraza.org,6195596389,2023,2125 PARK BLVD,SAN DIEGO,CA,92101,"2125 PARK BLVD, SAN DIEGO, CA, 92101",Roberto Hernandez,President,,business_officer
202502389349300135_public.xml,953010728,CENTRO CULTURAL DE LA RAZA INCORPORATED,centroculturaldelaraza.org,6195596389,2023,2125 PARK BLVD,SAN DIEGO,CA,92101,"2125 PARK BLVD, SAN DIEGO, CA, 92101",AMELIA ENRIQUE,Secretary,7.00,form_990_section_a
202502389349300135_public.xml,953010728,CENTRO CULTURAL DE LA RAZA INCORPORATED,centroculturaldelaraza.org,6195596389,2023,2125 PARK BLVD,SAN DIEGO,CA,92101,"2125 PARK BLVD, SAN DIEGO, CA, 92101",MARIA FIGUEROA,Vice President,15.00,form_990_section_a
202502389349300135_public.xml,953010728,CENTRO CULTURAL DE LA RAZA INCORPORATED,centroculturaldelaraza.org,6195596389,2023,2125 PARK BLVD,SAN DIEGO,CA,92101,"2125 PARK BLVD, SAN DIEGO, CA, 92101",BERTHA TORRES LUNA,Treasurer,30.00,form_990_section_a
202502389349300135_public.xml,953010728,CENTRO CULTURAL DE LA RAZA INCORPORATED,centroculturaldelaraza.org,6195596389,2023,2125 PARK BLVD,SAN DIEGO,CA,92101,"2125 PARK BLVD, SAN DIEGO, CA, 92101",DR ROBERTO HERNANDEZ,President,30.00,form_990_section_a
202502389349300135_public.xml,953010728,CENTRO CULTURAL DE LA RAZA INCORPORATED,centroculturaldelaraza.org,6195596389,2023,2125 PARK BLVD,SAN DIEGO,CA,92101,"2125 PARK BLVD, SAN DIEGO, CA, 92101",DR MARIO AGUILAR,Director,5.00,form_990_section_a
202502389349300135_public.xml,953010728,CENTRO CULTURAL DE LA RAZA INCORPORATED,centroculturaldelaraza.org,6195596389,2023,2125 PARK BLVD,SAN DIEGO,CA,92101,"2125 PARK BLVD, SAN DIEGO, CA, 92101",DR NORELL MARTINEZ,Director,5.00,form_990_section_a
202502389349300135_public.xml,953010728,CENTRO CULTURAL DE LA RAZA INCORPORATED,centroculturaldelaraza.org,6195596389,2023,2125 PARK BLVD,SAN DIEGO,CA,92101,"2125 PARK BLVD, SAN DIEGO, CA, 92101",DR JADE POWER SOTOMAYOR,Director,8.00,form_990_section_a
202502389349300135_public.xml,953010728,CENTRO CULTURAL DE LA RAZA INCORPORATED,centroculturaldelaraza.org,6195596389,2023,2125 PARK BLVD,SAN DIEGO,CA,92101,"2125 PARK BLVD, SAN DIEGO, CA, 92101",ANA LAURA MARTINEZ,Director,8.00,form_990_section_a
202502389349300135_public.xml,953010728,CENTRO CULTURAL DE LA RAZA INCORPORATED,centroculturaldelaraza.org,6195596389,2023,2125 PARK BLVD,SAN DIEGO,CA,92101,"2125 PARK BLVD, SAN DIEGO, CA, 92101",ESAU CORTEZ,Director,20.00,form_990_section_a
202502389349300600_public.xml,871937783,Community Realignment Education Program,https: www.credsd.org,,2023,PO BOX 5097,San Diego,CA,92165,"PO BOX 5097, San Diego, CA, 92165",DeQuan Patterson,CEO,,business_officer
202502389349300600_public.xml,871937783,Community Realignment Education Program,https: www.credsd.org,,2023,PO BOX 5097,San Diego,CA,92165,"PO BOX 5097, San Diego, CA, 92165",DeQuan Patterson,Program Director,40.00,form_990_section_a
202502399349100520_public.xml,881459512,LANKFORD FAMILY FOUNDATION,N/A,8585870130,2024,1050 PARK BLVD,SAN DIEGO,CA,92101,"1050 PARK BLVD, SAN DIEGO, CA, 92101",SUSAN LANKFORD,PRESIDENT,,business_officer
202502399349100520_public.xml,881459512,LANKFORD FAMILY FOUNDATION,N/A,8585870130,2024,1050 PARK BLVD,SAN DIEGO,CA,92101,"1050 PARK BLVD, SAN DIEGO, CA, 92101",SUSAN LANKFORD,PRESIDENT,1.00,officer_director_trustee_key_employee
202502399349100520_public.xml,881459512,LANKFORD FAMILY FOUNDATION,N/A,8585870130,2024,1050 PARK BLVD,SAN DIEGO,CA,92101,"1050 PARK BLVD, SAN DIEGO, CA, 92101",JAMES PENNINGTON,SECRETARY,1.00,officer_director_trustee_key_employee
202502399349100520_public.xml,881459512,LANKFORD FAMILY FOUNDATION,N/A,8585870130,2024,1050 PARK BLVD,SAN DIEGO,CA,92101,"1050 PARK BLVD, SAN DIEGO, CA, 92101",GREG ARAUJO,TREASURER,1.00,officer_director_trustee_key_employee
202502399349100925_public.xml,332259715,Ron and Ilanit Gutman Family Foundation,N/A,4159830200,2024,7540 Plein Aire,San Diego,CA,92127,"7540 Plein Aire, San Diego, CA, 92127",RON GUTMAN,PRES/SEC/DIR,,business_officer
202502399349100925_public.xml,332259715,Ron and Ilanit Gutman Family Foundation,N/A,4159830200,2024,7540 Plein Aire,San Diego,CA,92127,"7540 Plein Aire, San Diego, CA, 92127",Ron Gutman,PRES/SEC/DIR,1.00,officer_director_trustee_key_employee
202502399349100925_public.xml,332259715,Ron and Ilanit Gutman Family Foundation,N/A,4159830200,2024,7540 Plein Aire,San Diego,CA,92127,"7540 Plein Aire, San Diego, CA, 92127",Ilanit Gutman,CFO/DIR,1.00,officer_director_trustee_key_employee
202502399349100925_public.xml,332259715,Ron and Ilanit Gutman Family Foundation,N/A,4159830200,2024,7540 Plein Aire,San Diego,CA,92127,"7540 Plein Aire, San Diego, CA, 92127",Yoav Gutman,Director,1.00,officer_director_trustee_key_employee
