OID_,FacilityType,FacilityNumber,FacilityName,Licensee,FacilityEmail,FacilityAdministrator,FacilityTelephoneNumber,FacilityAddress,FacilityCity,FacilityState,FacilityZip,CountyName,RegionalOffice,FacilityCapacity,FacilityStatus,LicenseFirstDate,ClosedDate,LastVisitDate,InspectionVisits,ComplaintVisits,OtherVisits,TotalVisits,InspectTypeA,InspectTypeB,OtherTypeA,OtherTypeB,ComplaintTypeA,ComplaintTypeB,TotalAllegations,InconclusiveAllegations,SubstantiatedAllegations,UnsubstantiatedAllegations,UnfoundedAllegations,POINT_X,POINT_Y
1,RCFE-CONTINUING CARE RETIREMENT COMMUNITY,370800394.000000000000000,COVENANT LIVING AT MOUNT MIGUEL,COVENANT LIVING WEST,,RICHARD MILLER,(619) 479-4790,325 KEMPTON STREET,SPRING VALLEY,CA,91977.000000000000000,SAN DIEGO,8.000000000000000,435.000000000000000,LICENSED,4/9/1993 0:00:00,,12/9/2025 0:00:00,3.000000000000000,1.000000000000000,4.000000000000000,8.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,2.000000000000000,0.000000000000000,0.000000000000000,2.000000000000000,0.000000000000000,6330487.000000000000000,1835711.000000000000000
2,RESIDENTIAL CARE ELDERLY,370800558.000000000000000,ST PAUL'S MANOR,"ST PAUL'S EPISCOPAL HOME, INC",,"ELLENICH, RONALD",(619) 239-2097,2635 SECOND AVE,SAN DIEGO,CA,92103.000000000000000,SAN DIEGO,8.000000000000000,200.000000000000000,LICENSED,10/15/1974 0:00:00,,10/22/2025 0:00:00,5.000000000000000,2.000000000000000,7.000000000000000,14.000000000000000,0.000000000000000,0.000000000000000,1.000000000000000,8.000000000000000,0.000000000000000,2.000000000000000,3.000000000000000,0.000000000000000,2.000000000000000,1.000000000000000,0.000000000000000,6281027.000000000000000,1847728.000000000000000
3,RESIDENTIAL CARE ELDERLY,370804165.000000000000000,GOOD SAMARITAN BOARD AND CARE FACILITY,"SANCHEZ, GODOFREDO AND ANGELITA L.",,VANESSA JOY SANCHEZ,(619) 267-2445,6255 MCHANEY COURT,SAN DIEGO,CA,92114.000000000000000,SAN DIEGO,8.000000000000000,6.000000000000000,LICENSED,2/17/1984 0:00:00,,2/13/2025 0:00:00,3.000000000000000,2.000000000000000,0.000000000000000,5.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,6.000000000000000,0.000000000000000,0.000000000000000,6.000000000000000,0.000000000000000,6311399.000000000000000,1832558.000000000000000
4,RESIDENTIAL CARE ELDERLY,370804359.000000000000000,KASITZ KASTLE,"KASITZ, LAWRENCE A.",,DARLENE KASITZ,(619) 445-3887,1417 TAVERN ROAD,ALPINE,CA,91901.000000000000000,SAN DIEGO,8.000000000000000,12.000000000000000,CLOSED,4/29/1987 0:00:00,1/30/2025 0:00:00,11/20/2024 0:00:00,2.000000000000000,1.000000000000000,1.000000000000000,4.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,2.000000000000000,0.000000000000000,0.000000000000000,4.000000000000000,0.000000000000000,0.000000000000000,4.000000000000000,0.000000000000000,6400499.000000000000000,1883905.000000000000000
5,RESIDENTIAL CARE ELDERLY,370804404.000000000000000,SILVERCREST GUEST HOME,"PELINA, AMALIA",,"PELINA, AMALIA",(619) 442-3957,960 GROSSMONT AVENUE,EL CAJON,CA,92020.000000000000000,SAN DIEGO,8.000000000000000,15.000000000000000,CLOSED,12/29/1993 0:00:00,11/21/2022 0:00:00,1/24/2023 0:00:00,1.000000000000000,5.000000000000000,4.000000000000000,10.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,2.000000000000000,5.000000000000000,8.000000000000000,0.000000000000000,7.000000000000000,1.000000000000000,0.000000000000000,6338066.000000000000000,1865505.000000000000000
6,RESIDENTIAL CARE ELDERLY,370804416.000000000000000,VILLA VICTORIA CARE HOME,"LABRADOR, VICTORIA",,"LABRADOR, VICTORIA N.",(619) 266-2356,1312 LEAF TERRACE,SAN DIEGO,CA,92114.000000000000000,SAN DIEGO,8.000000000000000,6.000000000000000,LICENSED,10/20/1988 0:00:00,,3/17/2025 0:00:00,3.000000000000000,0.000000000000000,3.000000000000000,6.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,3.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,6311099.000000000000000,1834192.000000000000000
7,RESIDENTIAL CARE ELDERLY,370804455.000000000000000,MESA BOARD AND CARE,"MESA, CECILIA",,"MESA, CECILIA",(619) 934-9144,3865 DARWIN AVENUE,SAN DIEGO,CA,92154.000000000000000,SAN DIEGO,8.000000000000000,6.000000000000000,LICENSED,8/26/1987 0:00:00,,8/12/2025 0:00:00,4.000000000000000,0.000000000000000,4.000000000000000,8.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,8.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,6314915.000000000000000,1790484.000000000000000
8,RESIDENTIAL CARE ELDERLY,370804484.000000000000000,ST. JOSEPH'S GUEST HOME,"SANCHEZ, ANGELITA L. & LOREZCO, TERESITA T.",,VANESSA LOREZCO-SANCHEZ,(619) 267-5909,1576 CASTEEL COURT,SAN DIEGO,CA,92114.000000000000000,SAN DIEGO,8.000000000000000,5.000000000000000,LICENSED,7/7/1988 0:00:00,,9/10/2025 0:00:00,4.000000000000000,0.000000000000000,2.000000000000000,6.000000000000000,0.000000000000000,0.000000000000000,4.000000000000000,9.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,6311419.000000000000000,1832798.000000000000000
9,RESIDENTIAL CARE ELDERLY,370804527.000000000000000,LIWAG'S RESIDENTIAL CARE HOME,"LIWAG, NORA B. AND ERNESTO A.",,NORA B. LIWAG,(619) 690-1022,3993 CASEMAN STREET,SAN DIEGO,CA,92154.000000000000000,SAN DIEGO,8.000000000000000,6.000000000000000,LICENSED,8/1/1988 0:00:00,,7/14/2025 0:00:00,4.000000000000000,3.000000000000000,1.000000000000000,8.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,1.000000000000000,4.000000000000000,0.000000000000000,1.000000000000000,2.000000000000000,1.000000000000000,6315733.000000000000000,1790982.000000000000000
10,RESIDENTIAL CARE ELDERLY,370804662.000000000000000,SUNSHINE CARE HOME,"BAYLON, RENATO P. AND ESTRELLA A.",,FRANCIS GRACE REYES,(619) 561-0161,11812 LAKESIDE AVENUE,LAKESIDE,CA,92040.000000000000000,SAN DIEGO,8.000000000000000,21.000000000000000,CLOSED,11/13/1989 0:00:00,11/17/2025 0:00:00,11/17/2025 0:00:00,3.000000000000000,1.000000000000000,1.000000000000000,5.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,1.000000000000000,0.000000000000000,0.000000000000000,1.000000000000000,0.000000000000000,0.000000000000000,1.000000000000000,0.000000000000000,6350314.000000000000000,1896070.000000000000000
11,RESIDENTIAL CARE ELDERLY,370804788.000000000000000,CASA EL CAJON,LILLIAN FRANKLIN,,REBECCA RAYO,(619) 440-1335,306 SHADY LANE,EL CAJON,CA,92021.000000000000000,SAN DIEGO,8.000000000000000,99.000000000000000,LICENSED,1/31/1991 0:00:00,,12/8/2025 0:00:00,4.000000000000000,16.000000000000000,10.000000000000000,30.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,4.000000000000000,0.000000000000000,1.000000000000000,27.000000000000000,0.000000000000000,1.000000000000000,25.000000000000000,1.000000000000000,6349998.000000000000000,1870603.000000000000000
12,RESIDENTIAL CARE ELDERLY,370804817.000000000000000,RANCHO SAN DIEGO BOARD & CARE,"TUASON, JUN & JOCELYN",,"TUASON, JOCELYN",(619) 670-1522,11881 CALLE ALBARA,EL CAJON,CA,92019.000000000000000,SAN DIEGO,8.000000000000000,6.000000000000000,CLOSED,11/14/1991 0:00:00,11/10/2022 0:00:00,11/10/2022 0:00:00,0.000000000000000,0.000000000000000,1.000000000000000,1.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,6350648.000000000000000,1856144.000000000000000
13,RESIDENTIAL CARE ELDERLY,370804823.000000000000000,ST. PAUL'S VILLA,"ST. PAUL'S EPISCOPAL HOME, INC.",,ELEANOR DOWNING,(619) 232-2996,2340 FOURTH AVENUE,SAN DIEGO,CA,92101.000000000000000,SAN DIEGO,8.000000000000000,200.000000000000000,LICENSED,1/31/1992 0:00:00,,9/9/2025 0:00:00,3.000000000000000,5.000000000000000,5.000000000000000,13.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,10.000000000000000,0.000000000000000,2.000000000000000,8.000000000000000,0.000000000000000,6281308.000000000000000,1846596.000000000000000
