"name","address","zip_code","type","irs_name","asset_amt","revenue_amt","administrator","phonenumber","mission_aligned"
"JPLT WINE GROUP LLC","1040 Muirlands Dr","92037.0","Liquor","FEDERATION OF TEXAS A M UNIV MOTHERS CLUB",0.0,0.0,NULL,NULL,0
"LAT","1041 Market Street Suite 165","92101.0","School","GB SOCIAL INC",0.0,0.0,NULL,NULL,0
"Scripps Ranch","10410 Falcon Way","92131.0","School","PARENT BOOSTER USA INC",0.0,0.0,NULL,NULL,0
"Alliant International University","10455 Pomerado Rd","92131.0","HigherEducationFacility","ALLIANT EDUCATIONAL FOUNDATION",57822611.0,3231907.0,NULL,NULL,0
"Mira Mesa","10510 Marauder Way","92126.0","School","MIRA MESA HIGH SCHOOL ALUMNI ASSOCIATION",0.0,0.0,NULL,NULL,0
"Kid Ventures","10760 Thornmint Rd","92127.0","AmusementPark","AMAZING GRACE INSTITUTE",0.0,0.0,NULL,NULL,0
"Rodriguez Mountain Camp","10785 Pomerado Rd","92082.0","Camp","ASCENT 613",1.0,0.0,NULL,NULL,0
"PANDA EXPRESS INC DBA PANDA EXPRESS #500 ","1084 N El Camino Real",NULL,"CAFE-FAST FOOD","HEALING FIELD",0.0,0.0,"C/O RYAN LLC-ATTN TAX COMPL",NULL,0
"Unisys Building","10850 Via Frontera","92127.0","Building","PETCO ANIMAL SUPPLIES STORES INC GROUP BENEFIT PLAN AND TRUST",18738392.0,190983596.0,NULL,NULL,0
"PROMISING FUTURES INC  ","109 E Lexington Ave",NULL,"MISCELLANEOUS ASSOC","PROMISING FUTURES INC",3110525.0,3295620.0,"ATTN GINA PARRA",NULL,0
"Super Star #2 - Oil Net, Inc.","1090 Broadway","92021.0","Gas","RISE UP ASSOCIATION",45965.0,0.0,NULL,NULL,0
"RASSELBANDE PRESCHOOL LLC DBA RASSELBANDE PRESCHOOL ","1090 S Anza St",NULL,"PRE-SCHOOL/CHILDCARE","DIE RASSELBANDE PRESCHOOL INC",367873.0,452196.0,NULL,NULL,0
"SANFORD BURNHAM PREBYS MEDICAL DISCOVERY INSTITUTE C/O FINANCE DEPARTMENT","10901 N Torrey Pines Rd",NULL,"BIO-MED R&D","SANFORD BURNHAM PREBYS MEDICAL DISCOVERY INSTITUTE",326353986.0,123272481.0,"ATTN MAX PANCER",NULL,0
"Calvary Chapel of Santee","10920 Summit Ave","92071.0","ReligiousStructure_C","CALVARY CHAPEL SANTEE FOUNDATION",0.0,0.0,NULL,NULL,0
"Trade Services Publications","10996 Torreyana Rd","92121.0","OfficeBuilding","GENERATION STEAM",771136.0,1546778.0,NULL,NULL,0
"Ivey Ranch Park","110 Rancho Del Oro Dr","92057.0","Park","OCEANSIDE IVEY RANCH PARK ASSOCIATION",1470673.0,1501964.0,NULL,NULL,0
"GUMARO ESCARCEGA&PLATA FABIOLA DBA EMBROIDERY IMAGE ","110 S Citrus Ave",NULL,"SILK SCREENING","BACKFENCE SOCIETY INC",0.0,0.0,NULL,NULL,0
"Discovery Charter","1100 Camino Biscay","91910.0","School","DISCOVERY CHARTER SCHOOL PTC",93952.0,105321.0,NULL,NULL,0
"Pacific Rim","1100 Camino De Las Ondas","92009.0","School","PTA CALIFORNIA CONGRESS OF PARENTS TEACHERS & STUDENTS INC",81021.0,260064.0,NULL,NULL,0
"Park & Market","1100 Market St","92101","College/University","MEDIA ARTS CENTER SAN DIEGO",1341708.0,1868674.0,NULL,NULL,0
"GROSSMONT UNION HIGH DISTRICT OFFIC","1100 Murray Dr","92020.0","GovernmentFacility","PTA CALIFORNIA CONGRESS OF PARENTS TEACHERS & STUDENTS INC",0.0,0.0,NULL,NULL,0
"Coronado Museum of History and Art","1100 Orange Ave","92118.0","Museum","CORONADO HISTORICAL ASSOCIATION",8550670.0,841826.0,NULL,NULL,0
"Lingua Natal","1104 Garden View Rd","92024.0","School","LINGUA NATAL SCHOOLS",1.0,0.0,NULL,NULL,0
"FALLBROOK CHAMBER OF COMMERCE  ","111 S Main Ave",NULL,"PUBLIC AGENCY","FALLBROOK CHAMBER OF COMMERCE",643170.0,631759.0,NULL,NULL,0
"Breeze Hill","1111 Melrose Way","92083.0","School","PTA CALIFORNIA CONGRESS OF PARENTS TEACHERS & STUDENTS INC",19039.0,55642.0,NULL,NULL,0
"Zlac Rowing Club","1111 Pacific Beach Dr","92109.0","RecreationalFacility","ZLAC ROWING CLUB LTD",798760.0,338053.0,NULL,NULL,0
"RED EFFECT FITNESS  ","11130 E Ocean Air Dr",NULL,"FITNESS CENTER","ENSEMBLE PRO ASSOCIATION",0.0,0.0,NULL,NULL,0
"Sandburg","11230 Avenida Del Gato","92126.0","School","SANDBURG ELEMENTARY SCHOOLFOUNDATION",116113.0,146065.0,NULL,NULL,0
"Carmel Mountain Postal Store","11251 Rancho Carmel Drive","92128.0","PostOffice","UNDERSTAND THE GRIND",0.0,0.0,NULL,NULL,0
"WILLSON SHIPPING INC DBA POSTAL ANNEX #2009 ","113 W G St",NULL,"MAILBOX CENTER","FRIENDS OF DOWNTOWN INC",17984.0,48336.0,"C/O TYLER WILLSON",NULL,0
"EAGLES LODGE AERIE 2712","1131 Roosevelt Ave","91950.0","Liquor","FRATERNAL ORDER OF EAGLES",3313.0,38358.0,NULL,NULL,0
"BATH VETERINARY ENTERPRISES DBA VISTA VETERINARY HOSPITAL INC","1139 S Santa Fe Ave",NULL,"DOCTOR/OSTEOPA/CHIRO","SAN DIEGO YOUTH SIKH SOCIETY",3455.0,6784.0,NULL,NULL,0
"COAST LAW GROUP LLP DBA CLG ","1140 S Coast Hwy 101",NULL,"RADIO/TV/COMPUTERS","COASTAL ENVIRONMENTAL RIGHTS FOUNDATION",314022.0,30350.0,"C/O DIANA KOVACS",NULL,0
"PALOMAR COMMUNITY COLLEGE DISTRICT ","1140 W Mission Rd",NULL,"PUBLIC AGENCY","PALOMAR COLLEGE FOUNDATION",29974397.0,1856961.0,NULL,NULL,1
"LAMB'S PLAYERS THEATRE","1142 Orange Ave","92122.0","Liquor","LAMBS PLAYERS THEATRE",1857084.0,3327941.0,NULL,NULL,0
"Fahari L. Jeffers","1145 Camino Prado","91913.0","School","PTA CALIFORNIA CONGRESS OF PARENTS TEACHERS & STUDENTS INC",18187.0,42977.0,NULL,NULL,0
"Eldorado Church of God","115 S Clementine St","92054.0","ReligiousStructure_C","ELDORADO CHURCH OF GOD HOMES INC",1058806.0,1023460.0,NULL,NULL,0
"Rancho San Diego Branch","11555 Via Rancho San Diego","92019.0","Library","FRIENDS OF THE RANCHO SAN DIEGO LIBRARY INC",0.0,0.0,NULL,NULL,0
"TGU CITY OF ESCONDIDO LLC  ","1163 N Centre City Pkwy",NULL,"ELECTRICITY GENERATI","ESCONDIDO POLICE OFFICERS CARE FOUNDATION",218471.0,173235.0,"C/O ARMANINO LLP",NULL,0
"VFW POST 1924","1175 Old Stage Rd","92028.0","Liquor","VETERANS OF FOREIGN WARS DEPARTMENT OF CALIFORNIA",182385.0,123662.0,NULL,NULL,0
"DREAM","11838 Valle Vista Rd","92040.0","School","PTA CALIFORNIA CONGRESS OF PARENTS TEACHERS & STUDENTS INC",0.0,0.0,NULL,NULL,0
"San Diego Jewish Academy","11860 Carmel Creek Rd","92130.0","ReligiousStructure_J","SAN DIEGO JEWISH ACADEMY",66970702.0,30468597.0,NULL,NULL,0
"ALPHA INVESTMENTS INC","11905 Riverside Dr","92040.0","Liquor","THE ZATHAS FOUNDATION",91418.0,NULL,NULL,NULL,0
"San Diego Rescue Missiom","120 Elm St","92101-2602","Multifamily Housing","SAN DIEGO RESCUE MISSION INC",47400081.0,25286002.0,NULL,NULL,0
"Nancy Jane Park","120 N Park Dr","92021.0","Park","EARTH DISCOVERY INSTITUTE",252235.0,769296.0,NULL,NULL,0
"SIDES CLAY R ATTY  ","120 S Main Ave",NULL,"ACCOUNTANT","PHYLLIS SWEENEY ENCOURAGEMENT FACTOR",0.0,0.0,NULL,NULL,0
"CLEARPOINT NEURO INC  ","120 S Sierra Ave",NULL,"MISC PROFESSIONAL","BRUTTEN FAMILY FOUNDATION",348482.0,NULL,NULL,NULL,0
"CITY OF CARLSBAD-ADMINISTRATION","1200 Carlsbad Village Dr","92008.0","GovernmentFacility","CITY OF CARLSBAD PUBLIC IMPROVEMENT CORPORATION",0.0,0.0,NULL,NULL,0
"National City Police","1200 National City Blvd","91950.0","PoliceStation","NATIONAL CITY POLICE DEPARTMENT EXPLORERS POST 2859",0.0,0.0,NULL,NULL,0
"ESCONDIDO ART ASSOCIATION  ","121 W Grand Ave",NULL,"ART DEALERS","ESCONDIDO ART ASSOCIATION",0.0,0.0,NULL,NULL,0
"River View Park","12108 Industry Rd","92040.0","Park","LAKESIDES RIVER PARK CONSERVANCY",12548776.0,1820155.0,NULL,NULL,0
"MISSION HILLS COMMUNITY PRE-SCHOOL ","1211 W Lewis St",NULL,"MISC SCHOOL","MISSION HILLS COMMUNITY PRESCHOOL",176188.0,442108.0,NULL,NULL,1
"MISSION BAY YACHT CLUB INC","1215 El Carmel Pl","92109.0","Liquor","MISSION BAY YACHT CLUB",3675106.0,4271106.0,NULL,NULL,0
"Rancho San Diego","12151 Calle Albara","92019.0","School","PTA CALIFORNIA CONGRESS OF PARENTS TEACHERS & STUDENTS INC",74664.0,41814.0,NULL,NULL,0
"RNN INTERNATIONAL INC","12265 Scripps Poway Pkwy","92064.0","Liquor","AMERICAS THAI CHAMBER OF COMMERCE",1.0,5000.0,NULL,NULL,0
"CRISTO REY SAN DIEGO HIGH INC  ","1228 S 38Th St",NULL,"MISC SCHOOL","CRISTO REY SAN DIEGO HIGH SCHOOL INC",1412132.0,5031417.0,NULL,NULL,0
"RANCHO BERNARDO GOLF CLUB","12280 Greens East Rd","92128.0","Liquor","RANCHO BERNARDO GOLF CLUB",7813007.0,5954434.0,NULL,NULL,0
"VFW SILVER STRAND POST 5477","123 Palm Ave","91932.0","Liquor","VETERANS OF FOREIGN WARS OF THE UNITED STATES AUXILIARY",0.0,0.0,NULL,NULL,0
"2 Columbia Place","1230 Columbia St","92101-8571","Office","WAKELAND HOUSING AND DEVELOPMENT CORPORATION",109294993.0,22912128.0,NULL,NULL,0
"Girl Scouts","1231 Upas St","92101.0","RecreationalFacility","GIRL SCOUTS SAN DIEGO-IMPERIAL COUNCIL INC",30736476.0,13628018.0,NULL,NULL,0
"Meadowbrook Gymnasium","12320 Meadowbrook Ln","92064.0","RecreationalFacility","PTA CALIFORNIA CONGRESS OF PARENTS TEACHERS & STUDENTS INC",0.0,0.0,NULL,NULL,0
"Lakeside Union School District Office","12335 Woodside Ave","92040.0","GovernmentFacility","CALIFORNIA TEACHERS ASSOCIATION",103308.0,96766.0,NULL,NULL,0
"Vista Unified School District Office","1234 Arcadia Ave","92084.0","GovernmentFacility","VISTA FOUNDATION FOR INNOVATIVE LEARNING",25.0,0.0,NULL,NULL,0
"ALVIN MYO DUNN POST NO 365 INC  ","1234 S Santa Fe Ave",NULL,"CLUBS - SOCIAL/SERVI","AMERICAN LEGION",8640.0,172556.0,"ATTN TERESA MOORE",NULL,0
"VFW LT FRED LEWIS KENT POST 7907","12342 Old Pomerado Rd","92064.0","Liquor","VETERANS OF FOREIGN WARS DEPARTMENT OF CALIFORNIA",203113.0,118351.0,NULL,NULL,0
"Poway Sportsplex ","12349 Mcivers Ct","92064.0","Park","SPORTSPLEX USA FOUNDATION INC",0.0,0.0,NULL,NULL,0
"Canyonside Rec Center","12350 Black Mountain Rd","92126.0","RecreationalFacility","RANCHO PENASQUITOS TENNIS ASSOCIATION INC",515713.0,1585584.0,NULL,NULL,0
"SURJE COFFE CO  ","124 E Main St",NULL,"CAFE","THE EAST COUNTY ART ASSOCIATION",1890.0,105403.0,NULL,NULL,0
"New School of Architecture and Design","1249 F St","92101.0","HigherEducationFacility","H2H FOUNDATION",1.0,NULL,NULL,NULL,0
"Mill's Building","1255 Imperial Ave","92101-7493","Commercial","CHILDREN IN NEED INC",0.0,0.0,NULL,NULL,0
"RSF VINES LLC","12625 High Bluff Dr Ste 315","92130.0","Liquor","NARROW GATE A CHARITABLE FOUNDATION",777.0,NULL,NULL,NULL,0
"VFW POST 5867","12650 Lindo Ln","92040.0","Liquor","CARTER-SMITH POST 5867 VETERANS OF FOREIGN WARS",330388.0,181805.0,NULL,NULL,0
"AMERICAN LEGION POST 820","1268 Palm Ave","91932.0","Liquor","AMERICAN LEGION",347346.0,218960.0,NULL,NULL,0
"BALANCED LIFE THERAPY CENTER  ","127 E Lexington Ave",NULL,"DOCTOR/OSTEOPA/CHIRO","EAST COUNTY ECONOMIC DEVELOPMENT COUNCIL FOUNDATION",6731.0,360303.0,NULL,NULL,0
"JC RESORTS LLC","1275 Quail Gardens Dr","92024.0","Liquor","ENCINITAS RANCH GOLF COURSE MENS CLUB INC",93510.0,130886.0,NULL,NULL,0
"Bernardo Heights","12990 Paseo Lucido","92128.0","School","PARENT BOOSTER USA INC",39133.0,117172.0,NULL,NULL,0
"Heartland Fire Training Center","1301 N Marshall Ave","92020.0","HigherEducationFacility","HEARTLAND REGIONAL FIRE TRAINING FOUNDATION",0.0,0.0,NULL,NULL,0
"Rancho Bernardo","13010 Paseo Lucido","92128.0","School","RANCHO BERNARDO HIGH SCHOOL FRIENDS OF THE LIBRARY",0.0,0.0,NULL,NULL,0
"Ashley Falls Park","13030 Ashley Falls Dr","92130.0","Park","PTA CALIFORNIA CONGRESS OF PARENTS TEACHERS & STUDENTS INC",58746.0,67301.0,NULL,NULL,0
"Poway Dog Park","13094 Civic Center Dr","92064.0","Park","POWAY VALLEY SENIOR CITIZENS CORP",1101714.0,707846.0,NULL,NULL,0
"San Diego City College","1313 Park Blvd","92101.0","HigherEducationFacility","SAN DIEGO CITY COLLEGE FOUNDATION",3981393.0,681885.0,NULL,NULL,0
"ELKS LODGE 2543","13219 Poway Rd","92064.0","Liquor","BENEVOLENT & PROTECTIVE ORDER OF ELKS OF THE USA",228432.0,193888.0,NULL,NULL,0
"POWAY PERFORMING ARTS COMPANY","13250 Poway Rd","92064.0","Liquor","POWAY PERFORMING ARTS COMPANY",93372.0,167803.0,NULL,NULL,0
"Bellus Academy","13266 Poway Rd","92064.0","HigherEducationFacility","BEAUTY CHANGES LIVES",1033150.0,1326778.0,NULL,NULL,0
"Buena Vista","1330 Buena Vista Way","92008.0","School","PTA CALIFORNIA CONGRESS OF PARENTS TEACHERS & STUDENTS INC",0.0,0.0,NULL,NULL,0
"ESCONDIDO MASONIC TEMPLE ASSN ESCONDIDO MASONIC HALL ","1331 S Escondido Blvd",NULL,"LODGES","CRYPTIC MASONS OF CALIFORNIA",0.0,0.0,NULL,NULL,0
"Iglesia Mision Cristiana Maranatha (Iglesia Wesleyana)","1344 Melrose Way","92081.0","ReligiousStructure_C","WAVE CHURCH MINISTRIES",0.0,0.0,NULL,NULL,0
"First Samoan Congregational Christian Church","1345 S 45Th St","92113.0","ReligiousStructure_C","FIRST SAMOAN CONGREGATIONAL CHRISTIAN CHURCH OF SAN DIEGO",0.0,0.0,NULL,NULL,0
"FALLBROOK HEALTHCARE FOUNDATION INC DBA FOUNDATION FOR SENIOR CARE","135 S Mission Rd",NULL,"MISCELLANEOUS ASSOC","FALLBROOK HEALTHCARE FOUNDATION INC",1245156.0,942067.0,NULL,NULL,1
"KCE CHAMPIONS LLC @ SILVER STRAND PRESCHOOL","1350 Leyte Rd","92118.0","ChildDayCare","SILVER STRAND ELEMENTARY PARENT-TEACHER ORGANIZATION",56867.0,94246.0,NULL,NULL,0
"Westview","13500 Camino Del Sur","92129.0","School","WESTVIEW GOLD BOOSTERS",180508.0,233086.0,NULL,NULL,0
"Kurdish Community Islamic Center / Masjid Assalam","1357 Broadway","92021.0","ReligiousStructure_M","KURDISH COMMUNITY ISLAMAIC CENTER OF GREATER SAN DIEGO INC",628974.0,93253.0,NULL,NULL,1
"FLEET RESERVE ASSN EL CAJON BR 47","136 Chambers St","92020.0","Liquor","JAMES HUNTER BRANCH 47 FLEET RESERVE ASSOCIATION",0.0,0.0,NULL,NULL,0
"Poway Adult School","13626 Twin Peaks Rd","92064.0","HigherEducationFacility","POWAY UNIFIED SCHOOL DISTRICT FOUNDATION",1579825.0,454952.0,NULL,NULL,0
"SOLANA CENTER FOR ENVIRONMENTAL INNOVATION ","137 N El Camino Real",NULL,"MISCELLANEOUS ASSOC","SOLANA CENTER FOR ENVIRONMENTAL INNOVATION",1280385.0,1577427.0,NULL,NULL,1
"St Gabriel's Catholic Church","13734 Twin Peaks Rd","92064.0","ReligiousStructure_C","KNIGHTS OF COLUMBUS",145848.0,87106.0,NULL,NULL,0
"FALLBROOK HOSPITAL DISTRICT DBA FALLBROOK HOSPITAL WELLNESS CENTER","138 S Brandon Rd",NULL,"PUBLIC AGENCY","FALLBROOK REGIONAL HEALTH DISTRICT FOUNDATION",0.0,0.0,"C/O PROPERTY VALUATION SERVICES",NULL,0
"Bostonia Global Elem","1390 Broadway","92021.0","School","PTA CALIFORNIA CONGRESS OF PARENTS TEACHERS & STUDENTS INC",30084.0,44569.0,NULL,NULL,0
"ELKS LODGE ENCINITAS 2243","1393 Windsor Rd","92007.0","Liquor","BENEVOLENT & PROTECTIVE ORDER OF ELKS OF THE USA",254774.0,235753.0,NULL,NULL,0
"HANDS THAT HELP, LLC - MANZANA, THE","1395 Manzana Way","92139.0","ADULT RESIDENTIAL","RESTORE THE SALVATION OF OUR YOUTH INC",0.0,0.0,"BROOKINS, PAMELA","(619) 389-7386",0
"FALLBROOK FOOD PANTRY SEE 7430120694 ","140 N Brandon Rd",NULL,"SPECIALTY STORE-SOFT","FALLBROOK FOOD PANTRY",1547697.0,3353376.0,NULL,NULL,0
"SYNERGY COWORKS CENTRE THE LLC  ","140 N Escondido Blvd",NULL,"MISCELLANEOUS AGENCY","BAY VISTA METHODIST HEIGHTS",17391639.0,1389869.0,NULL,NULL,0
"DR ENTERPRISES&ASSOCIATES INC DBA PREMIUM REAL ESTATE SERVICES","140 W 16Th St",NULL,"REAL ESTATE&DEVELOPE","MABUHAY FOUNDATION",0.0,0.0,NULL,NULL,0
"BPOE LODGE INC #1812 ","1400 E Washington Ave",NULL,"LODGES","BENEVOLENT & PROTECTIVE ORDER OF ELKS OF THE USA",2317000.0,752417.0,NULL,NULL,0
"DEL DIOS JR HIGH SCHOOL  ","1400 W 9Th Ave",NULL,"PUBLIC AGENCY","PTA CALIFORNIA CONGRESS OF PARENTS TEACHERS & STUDENTS INC",0.0,0.0,NULL,NULL,0
"National City Public","1401 National City Blvd","91950.0","Library","FRIENDS OF THE NATIONAL CITY LIBRARY",124535.0,95666.0,NULL,NULL,0
"KERNEY BERLIN&BALLO YASIR DBA BOMBER SQUAD BOXING ACADEMY","1404 E Main St",NULL,"CLUBS - SOCIAL/SERVI","BOMBER SQUAD - THE ACADEMY",0.0,0.0,NULL,NULL,0
"San Diego High ","1405 Park Blvd","92101.0","School","PTA CALIFORNIA CONGRESS OF PARENTS TEACHERS & STUDENTS INC",19024.0,69429.0,NULL,NULL,0
"The Rhoades School","141 S Rancho Santa Fe Rd","92024.0","School","RHOADES SCHOOL FOUNDATION",197624.0,77676.0,NULL,NULL,0
"First Lutheran Church","1410 Foothill Dr","92084.0","ReligiousStructure_C","NORTH COUNTY STONE SOUP KITCHEN",0.0,0.0,NULL,NULL,0
"Old Poway Park","14134 Midland Rd","92064.0","Park","POWAY HISTORICAL AND MEMORIAL SOCIETY",0.0,0.0,NULL,NULL,0
"First Lutheran Church","1420 3Rd Ave","92101.0","ReligiousStructure_C","THIRD AVENUE CHARITABLE ORGANIZATION INC",110707.0,228482.0,NULL,NULL,0
"STUART WHITE DESIGN INC  ","1421 W Lewis St",NULL,"ARCHITECT&ENGINEER","RENASCENCE PROJECT",160019.0,11000.0,NULL,NULL,0
"San Diego Art Institute","1439 El Prado","92101.0","Museum","SAN DIEGO ART INSTITUTE",6155564.0,2113233.0,NULL,NULL,0
"CRAFT IN THE PARK INC","1450 El Prado","92101.0","Liquor","SAN DIEGO MUSEUM OF ART",85257019.0,17978227.0,NULL,NULL,0
"VOLUNTEERS IN MEDICINE  ","1457 E Madison Ave",NULL,"MISCELLANEOUS ASSOC","VOLUNTEERS IN MEDICINE-SAN DIEGO INC",290714.0,349566.0,"C/O STUART HARVEY",NULL,0
"Twin Peaks Multipurpose Center","14640 Tierra Bonita Rd","92064.0","RecreationalFacility","TWIN PEAKS FOUNDATION",0.0,0.0,NULL,NULL,0
"Willow Grove","14727 Via Azul","92127.0","School","PTA CALIFORNIA CONGRESS OF PARENTS TEACHERS & STUDENTS INC",110677.0,99251.0,NULL,NULL,0
"HIGHLAND RANCH PRESCHOOL","14840 Waverly Downs Way","92128.0","ChildDayCare","PTA CALIFORNIA CONGRESS OF PARENTS TEACHERS & STUDENTS INC",141791.0,68931.0,NULL,NULL,0
"San Diego Maritime Museum","1492 N Harbor Dr","92101.0","Museum","MARITIME MUSEUM ASSOCIATION OF SAN DIEGO",17593156.0,5829054.0,NULL,NULL,0
"The Response Church","1499 Venice St","92107.0","ReligiousStructure_C","FRIENDS OF SILVER GATE",387446.0,299201.0,NULL,NULL,0
"TRUECARE","150 Valpreda Rd","92069.0","Community Clinic","NORTH COUNTY HEALTH PROJECT INC",115984241.0,130869472.0,NULL,NULL,1
