"name","address","zip_code","type","administrator","phonenumber","source","entity_type"
"1LIFE HEALTHCARE INC DBA ONE MEDICAL ","7740  El Camino Real",NULL,"DOCTOR/OSTEOPA/CHIRO","C/O ADVANTAX",NULL,"Audrey Merged",NULL
"1LIFE HEALTHCARE INC DBA ONE MEDICAL ","4505  La Jolla Village Dr",NULL,"DOCTOR/OSTEOPA/CHIRO","C/O ADVANTAX",NULL,"Audrey Merged",NULL
"1LIFE HEALTHCARE INC DBA ONE MEDICAL ","1230  Columbia St",NULL,"DOCTOR/OSTEOPA/CHIRO","C/O ADVANTAX",NULL,"Audrey Merged",NULL
"2419 29TH STREET LLC/LSR NEW BEGINNINGS COMMUNITY CHURCH/LSE","9625  Black Mountain Rd",NULL,"EXEMPT LESSOR","C/O JOHN BOLS",NULL,"Audrey Merged",NULL
"3M HEALTHCARE OPCO LLC  ","12330  Crosthwaite Cir",NULL,"MFG HEAVY","C/O RYAN LLC",NULL,"Audrey Merged",NULL
"435 ALTURAS LP DBA SPRINGBROOK APARTMENTS CARE HOUSING SVCS CORP-MGP","435  Alturas Rd",NULL,"APARTMENTS","C/O KIM JOO&ASSOCIATES",NULL,"Audrey Merged",NULL
"A WINSOME ASSISTED LIVING COMMUNITY","3808 Sweetwater Road","91902.0","RESIDENTIAL CARE ELDERLY","GUIA IGBANTE-ENRIQUEZ","(619) 434-6560","Audrey Merged",NULL
"AASHA HEALTH","2821 B Street","92102.0","SOCIAL REHABILITATION FACILITY","GUERENA, ANTHONY","(760) 803-4004","Audrey Merged",NULL
"ABC BIRTH SERVICES INC ACORN COMMUNITY BIRTH& WELLNESS CENTER","123 E Alvarado St",NULL,"DOCTOR/OSTEOPA/CHIRO","C/O CRISTI LEWIS",NULL,"Audrey Merged",NULL
"AC ENERGY SYSTEMS INC  ","224  Birmingham Dr",NULL,"MISC CONTRACTOR","C/O MAYBETH ROTHERY",NULL,"Audrey Merged",NULL
"ACADEMY OF INTEGRATIVE HEALTH&MEDICINE ","6919  La Jolla Blvd",NULL,"DOCTOR/OSTEOPA/CHIRO","C/O ANDREA MCCURRY",NULL,"Audrey Merged",NULL
"ACE EXCAVATING&ENVIRONMENTAL SERVICES INC ","2101  Alpine Blvd",NULL,"GENERAL BUILDING","C/O LARRY GILLIM CFO",NULL,"Audrey Merged",NULL
"ACRU HEALTH INC ACRUHEALTH PRECISION CHIROPRACTIC","2970  5Th Ave",NULL,"DOCTOR/OSTEOPA/CHIRO","ATTN ACCOUNTING",NULL,"Audrey Merged",NULL
"ACTIVIST SAN DIEGO DBA KNSJ JUSTICE 89.1 FM ","4161  Home Ave",NULL,"RADIO STATION","ATTN MARTIN EDER",NULL,"Audrey Merged",NULL
"ACUPUNCTURE CENTER INC DBA TOTAL HEALTH ACUPUNCTURE ","15644  Pomerado Rd",NULL,"DOCTOR/OSTEOPA/CHIRO","C/O MICHELLE ARNOLD",NULL,"Audrey Merged",NULL
"ACUPUNCTURE HEALTHCARE INC DR LORD ACUPUNCTURE HEALTHCARE INC","12396  World Trade Dr",NULL,"BODY CULTURE/MASSAGE","ATTN DONNIE C LORD JR",NULL,"Audrey Merged",NULL
"ADAPTHEALTH LLC VERIO HEALTHCARE INC ","9370  Waples St",NULL,"EMPLOYMENT","ATTN TAX DEPARTMENT",NULL,"Audrey Merged",NULL
"AFFIRMED HOUSING GROUP  ","13520  Evening Creek Dr N",NULL,"MISC PROFESSIONAL","C/O JAMES SILVERWOOD",NULL,"Audrey Merged",NULL
"AGILITI HEALTH INC  ","7692  Trade St",NULL,"APPLIANCE/FURNITURE","C/O GRANT THORNTON LLP",NULL,"Audrey Merged",NULL
"AGILITI HEALTH INC PMB#368179 ","2181  Citracado Pkwy",NULL,"APPLIANCE/FURNITURE","C/O AMERICAN BISON TAX LLC",NULL,"Audrey Merged",NULL
"AHURA HEALTHCARE CORPORATION DBA INLAND PAIN SPECIALISTS PAIN MANAGEMENT","160 N Date St",NULL,"DOCTOR/OSTEOPA/CHIRO","ATTN NIKAN KHATIBI MD",NULL,"Audrey Merged",NULL
"AKUA BEHAVIORAL HEALTH INC  ","3025  Reynard Way",NULL,"REST HOME","ATTN KENNY DEWAN CEO",NULL,"Audrey Merged",NULL
"AKUA BEHAVIORAL HEALTH INC  ","1784  San Diego Ave",NULL,"DOCTOR/OSTEOPA/CHIRO","ATTN KENNY DEWAN CEO",NULL,"Audrey Merged",NULL
"AL I LA COSTA SENIOR HOUSING DBA SUNRISE AT LA COSTA C/O SUNRISE SENIOR LIVING","7020  Manzanita St",NULL,"REST HOME","ATTN TAX DEPT",NULL,"Audrey Merged",NULL
"ALABAMA MANOR HOUSING ASSOCIATES ","3822  Alabama St",NULL,"LOW INCOME HOUSING","C/O COMMUNITY HOUSINGWORKS",NULL,"Audrey Merged",NULL
"ALISO HEALTH MANAGEMENT LLC  ","4403  Manchester Ave",NULL,"DOCTOR/OSTEOPA/CHIRO","C/O BRADLEY A ELI DMD",NULL,"Audrey Merged",NULL
"ALLIANCE HEALTHCARE SERVICES INC ","400  Craven Rd",NULL,"INSURANCE BROKER","C/O PROPERTY VALUATION SVCS",NULL,"Audrey Merged",NULL
"ALLIED WASTE SYSTEMS INC SUBSIDIARY OF REPUBLIC SERVICES INC #4529-ENERGY&CV","881  Energy Way",NULL,"TRASH COMPANY","C/O REPUBLIC SERVICES TAX DEPT",NULL,"Audrey Merged",NULL
"ALMANSOUR MUMTAZ MD MANSOUR WASIM DO EAST COUNTY FAMILY HEALTH","330 S Magnolia Ave",NULL,"DOCTOR/OSTEOPA/CHIRO","CENTER",NULL,"Audrey Merged",NULL
"ALNOOR ADULT DAY HEALTHCARE CENTER","905 W Main St","92020.0","ADULT DAY PROGRAM","ABDULNOOR, NAWAR","(619) 402-5570","Audrey Merged",NULL
"ALOHA INTEGRATIVE HEALTH INC  ","4510  Executive Dr",NULL,"DOCTOR/OSTEOPA/CHIRO","ATTN KIMBERLY SANDBERG",NULL,"Audrey Merged",NULL
"ALORA FAMILY HOUSING PARTNERS LP ","604 W Richmar Ave",NULL,"APARTMENTS","C/O AFFIRMED HOUSING GROUP",NULL,"Audrey Merged",NULL
"ALTER BEHAVIORAL HEALTH -SAN DIEGO MENTAL HEALTH","4890 67Th St","92115.0","SOCIAL REHABILITATION FACILITY","MEDINA, ERICA","(949) 538-7457","Audrey Merged",NULL
"ALTER BEHAVIORAL HEALTH-SAN DIEGO","4850 67Th Steet","92115.0","SOCIAL REHABILITATION FACILITY","WHITNEY BUSS","(949) 538-7457","Audrey Merged",NULL
"AMERGIS HEALTHCARE STAFFING INC ","3111  Camino Del Rio N",NULL,"EMPLOYMENT","C/O ADVANTAX",NULL,"Audrey Merged",NULL
"AMERICARE HEALTH&RETIREMENT INC ","140  Lomas Santa Fe Dr",NULL,"REST HOME","ATTN MATTHEW PETREE",NULL,"Audrey Merged",NULL
"AMERICARE HEALTH&RETIREMENT INC SILVERGATE FALLBROOK","420  Elbrook Dr",NULL,"REST HOME","ATTN MATTHEW PETREE",NULL,"Audrey Merged",NULL
"AMERICARE HEALTH&RETIREMENT INC SILVERGATE SAN MARCOS","1550  Security Pl",NULL,"REST HOME","ATTN MATTHEW PETREE",NULL,"Audrey Merged",NULL
"AMI ENVIRONMENTAL TESTING LLC  ","3820  Oceanic Dr",NULL,"MISC & TECHNICAL LAB","C/O WILLIAM MCLEOD",NULL,"Audrey Merged",NULL
"AMN HEALTHCARE INC  ","12400  High Bluff Dr",NULL,"EMPLOYMENT","ATTN TAX DEPT",NULL,"Audrey Merged",NULL
"AMN HEALTHCARE LABOR DISRUPTION INC ","12400  High Bluff Dr",NULL,"EMPLOYMENT","ATTN TAX DEPT",NULL,"Audrey Merged",NULL
"AMN HEALTHCARE LANGUAGE SERVICES INC ","1601  Precision Park Ln",NULL,"EMPLOYMENT","ATTN TAX DEPT",NULL,"Audrey Merged",NULL
"AMN HEALTHCARE LOCUM TENENS INC ","12400  High Bluff Dr",NULL,"MISC PROFESSIONAL","ATTN TAX DEPT",NULL,"Audrey Merged",NULL
"ANTHEM REAL ESTATEVENTURES INC DBA MFG HOME&RV COMMUNITY","14925  Grt Sthrn Overlnd Stg Rt",NULL,"MOBILE HOME PARK","ATTN MATT PHILBIN",NULL,"Audrey Merged",NULL
"APOSTOLIC ASSEMBLY OF THE FAITH IN CHRIST JESUS INC DBA STRONG TOWER COMMUNITY","1439  Imperial Beach Blvd",NULL,"RELIGIOUS ORGANIZATI","CHURCH",NULL,"Audrey Merged",NULL
"APPLIED ENERGY INC  ","213  Ward Rd",NULL,"ELECTRICITY GENERATI","ATTN CAPITAL POWER INC",NULL,"Audrey Merged",NULL
"APPLIED ENERGY LLC NAVAL AIR STATION C/O ATLANTIC POWER CORP","0  Vesta St",NULL,"ELECTRICITY GENERATI","ATTN MARCIA CAVANAUGH",NULL,"Audrey Merged",NULL
"APRIA HEALTHCARE LLC #4478 ","7661  Girard Ave",NULL,"DOCTOR/OSTEOPA/CHIRO","C/O SILVER OAK ADVISORS",NULL,"Audrey Merged",NULL
"APRIA HEALTHCARE LLC #5130 ","10090  Willow Creek Rd",NULL,"DOCTOR/OSTEOPA/CHIRO","C/O SILVER OAK ADVISORS",NULL,"Audrey Merged",NULL
"APRIA HEALTHCARE LLC #5191 ","2530  Jason Ct",NULL,"DOCTOR/OSTEOPA/CHIRO","C/O SILVER OAK ADVISORS",NULL,"Audrey Merged",NULL
"ARBOR TERRACE COMMUNITY REVITALIZATOIN& DEVELOPMENT CORPORATION","3693  Florida St",NULL,"APARTMENTS","C/O SAD I LLC",NULL,"Audrey Merged",NULL
"ARCH HEALTH PARTNERS INC  ","1955  Citracado Pkwy",NULL,"DOCTOR/OSTEOPA/CHIRO","ATTN ACCOUNTING DEPT",NULL,"Audrey Merged",NULL
"ARCH HEALTH PARTNERS INC  ","9878  Carmel Mountain Rd",NULL,"DOCTOR/OSTEOPA/CHIRO","ATTN ACCOUNTING DEPT",NULL,"Audrey Merged",NULL
"ARCH HEALTH PARTNERS INC  ","211  13Th St",NULL,"DOCTOR/OSTEOPA/CHIRO","ATTN ACCOUNTING DEPT",NULL,"Audrey Merged",NULL
"ARCH HEALTH PARTNERS INC  ","15611  Pomerado Rd",NULL,"DOCTOR/OSTEOPA/CHIRO","ATTN ACCOUNTING DEPT",NULL,"Audrey Merged",NULL
"ARCH HEALTH PARTNERS INC  ","2385 S Melrose Dr",NULL,"DOCTOR/OSTEOPA/CHIRO","ATTN ACCOUNTING DEPT",NULL,"Audrey Merged",NULL
"ARCH HEALTH PARTNERS INC  ","28743  Valley Center Rd",NULL,"DOCTOR/OSTEOPA/CHIRO","ATTN ACCOUNTING DEPT",NULL,"Audrey Merged",NULL
"ARCH HEALTH PARTNERS INC  ","15525  Pomerado Rd",NULL,"MISCELLANEOUS ASSOC","ATTN ACCOUNTING DEPT",NULL,"Audrey Merged",NULL
"ARCH HEALTH PARTNERS INC  ","6725  Mesa Ridge Rd",NULL,"DOCTOR/OSTEOPA/CHIRO","ATTN ACCOUNTING DEPT",NULL,"Audrey Merged",NULL
"ARCH HEALTH PARTNERS INC  ","120  Craven Rd",NULL,"DOCTOR/OSTEOPA/CHIRO","ATTN ACCOUNTING DEPT",NULL,"Audrey Merged",NULL
"ARCH HEALTH PARTNERS INC  ","28743  Valley Center Rd",NULL,"DOCTOR/OSTEOPA/CHIRO","ATTN ACCOUNTING DEPT",NULL,"Audrey Merged",NULL
"ARCH HEALTH PARTNERS INC  ","2130  Citracado Pkwy",NULL,"DOCTOR/OSTEOPA/CHIRO","ATTN ACCOUNTING DEPT",NULL,"Audrey Merged",NULL
"ARCH HEALTH PARTNERS INC  ","2130  Citracado Pkwy",NULL,"DOCTOR/OSTEOPA/CHIRO","ATTN ACCOUNTING DEPT",NULL,"Audrey Merged",NULL
"ARCH HEALTH PARTNERS INC CENTER FOR PHYSICAL THERAPY& EXERCISE","15525  Pomerado Rd",NULL,"DOCTOR/OSTEOPA/CHIRO","SEE 7430044028",NULL,"Audrey Merged",NULL
"ARCH HEALTH PARTNERS INC DBA PALOMAR HEALTH MEDICAL GROUP","1834  Main St",NULL,"DOCTOR/OSTEOPA/CHIRO","ATTN ACCOUNTING DEPT",NULL,"Audrey Merged",NULL
"AREA F1 HOUSING ASSOCIATES LP BRIDGE SC LLC DBA MANAGING GENERAL PARTNERS","1020  Stephanie Ct",NULL,"LOW INCOME HOUSING","C/O DELPHINE SHERMAN CFO",NULL,"Audrey Merged",NULL
"ASBURY ENVIRONMENTAL SERVICES INC ","9119  Birch St",NULL,"MISC PROFESSIONAL","ATTN GEUM SITU",NULL,"Audrey Merged",NULL
"ASD6 LLC DBA HILLCREST HEIGHTS HEALTHCARE CENTER","4033  6Th Ave",NULL,"REST HOME","ATTN FRANK JURADO",NULL,"Audrey Merged",NULL
"ASPIRE 8 LLC DBA HEALTHY SPA ","7293  Navajo Rd",NULL,"BODY CULTURE/MASSAGE","C/O TRANG THI THU TRAN",NULL,"Audrey Merged",NULL
"ASPIRE HOME HEALTHCARE INC  ","5465  Morehouse Dr",NULL,"DOCTOR/OSTEOPA/CHIRO","C/O HOME CARE PROVIDER, INC.",NULL,"Audrey Merged",NULL
"ASSOCIATION FOR COMMUNITY INDEPENDENCE INC","801 National City Blvd, Ste101","91950.0","ADULT DAY PROGRAM","ANDERSON, TAMARA","(619) 409-4100","Audrey Merged",NULL
"AT&T TECHNOLOGIES INC LOCATED AT SOLAR TURBINES INC ","2200  Pacific Hwy",NULL,"MISC & TECHNICAL LAB","C/O AT&T PROPERTY TAX UNIT",NULL,"Audrey Merged",NULL
"AUDACITY HEALTH LLC  ","888  Prospect St",NULL,"ADVERTISING","PMB 336",NULL,"Audrey Merged",NULL
"AURORA SAN DIEGO LLC DBA AURORA BEHAVIORAL HEALTHCARE","11878  Avenue Of Industry",NULL,"HOSPITAL","C/O ALTUS GROUP US INC",NULL,"Audrey Merged",NULL
"AVEANNA HEALTHCARE DBA ACCREDITED HOME CARE FKA BERGER INC","3570  Camino Del Rio N",NULL,"MISC PROFESSIONAL","C/O RYAN LLC-P SMITH",NULL,"Audrey Merged",NULL
"AVEANNA HEALTHCARE DBA PREMIER HEALTHCARE ","2020  Camino Del Rio N",NULL,"MISC & TECHNICAL LAB","C/O RYAN LLC-P SMITH",NULL,"Audrey Merged",NULL
"AVIARA EAST HOUSING LP  ","1380  Laurel Tree Ln",NULL,"APARTMENTS","C/O BRIDGE HOUSING CORP",NULL,"Audrey Merged",NULL
"B-EAST LLC DBA PRESIDIO HEALTHCARE CENTER DBA AMAYA SPRINGS HEALTH CARE","8625  Lamar St",NULL,"REST HOME","C/O ROCKPORT HEALTHCARE SVCS",NULL,"Audrey Merged",NULL
"BALBOA HEALTHCARE INC DBA BALBOA NURSING&REHAB ","3520  4Th Ave",NULL,"REST HOME","ATTN PROPERTY TAX DEPT",NULL,"Audrey Merged",NULL
"BAXTER HEALTHCARE CORPORATION  ","9596  Chesapeake Dr",NULL,"MISC & TECHNICAL LAB","C/O RYAN LLC",NULL,"Audrey Merged",NULL
"BAYSHIRE CARLSBAD","3140 El Camino Real","92008.0","RCFE-CONTINUING CARE RETIREMENT COMMUNITY","DAYNES, THOMAS","(760) 720-9898","Audrey Merged",NULL
"BAYSHIRE CARLSBAD","3140 El Camino Real","92008.0","RCFE-CONTINUING CARE RETIREMENT COMMUNITY","HIGHTOWER, SASHA","(760) 720-9898","Audrey Merged",NULL
"BAYSHIRE TORREY PINES","13101 Hartfield Ave","92130.0","RCFE-CONTINUING CARE RETIREMENT COMMUNITY","JEREMY DANENHAUER","(858) 259-2222","Audrey Merged",NULL
"BAYSHIRE TORREY PINES","13101 Hartfield Ave","92130.0","RCFE-CONTINUING CARE RETIREMENT COMMUNITY","KIRBY, SCOTT","(858) 259-2222","Audrey Merged",NULL
"BAYVIEW COMMUNITY DEVELOPMENT CORPORATION ","1440 S 40Th St",NULL,"LOW INCOME HOUSING","C/O VALOR PROPERTY MANAGEMENT",NULL,"Audrey Merged",NULL
"BE MORE HOME HEALTH SERVICES INC ","9474  Kearny Villa Rd",NULL,"DOCTOR/OSTEOPA/CHIRO","ATTN SVETLANA SHUT",NULL,"Audrey Merged",NULL
"BEACH AREA FAMILY HEALTH CENTER","3690 Mission Blvd.",NULL,"HEALTH","Real Estate",NULL,"Audrey Merged",NULL
"BEAUTY ENERGY EXCHANGE- AESTHETICS&WELLNESS NURSING INC","1050  Rosecrans St",NULL,"DOCTOR/OSTEOPA/CHIRO","ATTN NYREE VAN MAARSEVEEN",NULL,"Audrey Merged",NULL
"BEHAVIORAL HEALTH MANAGEMENT SYSTEMS LLC ","2120  Alpine Blvd",NULL,"MISC PROFESSIONAL","C/O PROPERTY VALUATION SVCS",NULL,"Audrey Merged",NULL
"BELLA AFFORDABLE HOUSING FOUNDATION ","4262  Estrella Ave",NULL,"LOW INCOME HOUSING","C/O CHRIS BLATT",NULL,"Audrey Merged",NULL
"BELLA AFFORDABLE HOUSING FOUNDATION ","2775  Market St",NULL,"LOW INCOME HOUSING","C/O CHRISTOPHER BLATT",NULL,"Audrey Merged",NULL
"BELLA AFFORDABLE HOUSING FOUNDATION ","2628  F St",NULL,"LOW INCOME HOUSING","C/O CHRISTOPHER BLATT",NULL,"Audrey Merged",NULL
"BELLA AFFORDABLE HOUSING FOUNDATION ","2879  E St",NULL,"LOW INCOME HOUSING","C/O CHRISTOPHER BLATT",NULL,"Audrey Merged",NULL
"BELLA AFFORDABLE HOUSING FOUNDATION ","845  24Th St",NULL,"LOW INCOME HOUSING","C/O GMB PARTNERS LP",NULL,"Audrey Merged",NULL
"BERRY HEALTHY LLC DBA NEKTER JUICE BAR ","3480  Marron Rd",NULL,"CAFE","C/O ALEXANDRA BERMAN",NULL,"Audrey Merged",NULL
"BEST BUY WAREHOUSING LOGISTICS BEST BUY #982603 ","11885  Community Rd",NULL,"RETAIL WAREHOUSE","C/O WILSON&FRANCO",NULL,"Audrey Merged",NULL
"BEYER COMMUNITY PARK","Beyer Bl Ely Enright Dr",NULL,"CMTYPK","Parks & Recreation",NULL,"Audrey Merged",NULL
"BIOFUELS ENERGY LLC  ","2131  Palomar Airport Rd",NULL,"MISC PROFESSIONAL","C/O KENNETH FRISBIE",NULL,"Audrey Merged",NULL
"BITTEREND VENTURES INC DBA BVI SOLAR ","7867  Dunbrook Rd",NULL,"MISC PROFESSIONAL","PMB 1209",NULL,"Audrey Merged",NULL
"BLIND RECREATION CENTER OF SAN DIEGO INC DBA BLIND COMMUNITY CENTER OF","1805  Upas St",NULL,"MISCELLANEOUS ASSOC","SAN DIEGO THE",NULL,"Audrey Merged",NULL
"BONITA VALLEY COMMUNITY CHURCH  ","4744  Bonita Rd",NULL,"RELIGIOUS ORGANIZATI","ATTN BUSINESS ADMINISTRATOR",NULL,"Audrey Merged",NULL
"BORREGO COMMUNITY HEALTH FOUNDATION FRUGAL COYOTE","590  Palm Canyon Dr",NULL,"MISCELLANEOUS ASSOC","C/O TAMI BEREKI",NULL,"Audrey Merged",NULL
"BOZULICH FAMILY TRUST 05-24-91/LR VALLEY CENTER COMMUNITY","29137  Valley Center Rd",NULL,"EXEMPT LESSOR","CHURCH/LE",NULL,"Audrey Merged",NULL
"BREIHAN HOUSING ASSOCIATES LP  ","12979  Community Rd",NULL,"LOW INCOME HOUSING","C/O COMMUNITY HOUSINGWORKS",NULL,"Audrey Merged",NULL
"BROOKVIEW SENIOR HOUSING PARTNERS LP ","13120  Pomerado Rd",NULL,"LOW INCOME HOUSING","C/O MATTHEW B JUMPER",NULL,"Audrey Merged",NULL
"CADMAN COMMUNITY PARK","Moraga Ct & Avati Dr",NULL,"CMTYPK","Parks & Recreation",NULL,"Audrey Merged",NULL
"CALIF ASSOC OF HEALTH FACILITIES ","560 N Coast Hwy 101",NULL,"MISC PROFESSIONAL","ATTN JOSEPH DIAZ",NULL,"Audrey Merged",NULL
"CALIFORNIA COAST CREDIT UNION ATM 5294 SOLAR ","2200  Pacific Hwy",NULL,"CREDIT UNION NON EX","ATTN ACCOUNTING DEPARTMENT",NULL,"Audrey Merged",NULL
"CALIFORNIA HEALTHSPAN INSTITUTE A MEDICAL CORPORATION","320  Santa Fe Dr",NULL,"DOCTOR/OSTEOPA/CHIRO","ATTN KRIS HART",NULL,"Audrey Merged",NULL
"CALIFORNIA PV ENERGY 3 LLC CSD-BORREGO SPRINGS LIBRARY ","2580  Country Club Rd",NULL,"PHOTOVOLTAIC","C/O BARCLAY DAMON LLP",NULL,"Audrey Merged",NULL
"CALIFORNIA PV ENERGY 3 LLC CSD-EAST MESA DETENTION ","446  Alta Rd",NULL,"PHOTOVOLTAIC","C/O BARCLAY DAMON LLP",NULL,"Audrey Merged",NULL
"CALIFORNIA PV ENERGY 3 LLC CSD-EDGEMOOR HOSPITAL ","655  Park Center Dr",NULL,"PHOTOVOLTAIC","C/O BARCLAY DAMON LLP",NULL,"Audrey Merged",NULL
"CALIFORNIA PV ENERGY 3 LLC CSD-NORTH COUNTY REGIONAL ","325 S Melrose Dr",NULL,"PHOTOVOLTAIC","C/O BARCLAY DAMON LLP",NULL,"Audrey Merged",NULL
"CALIFORNIA PV ENERGY 3 LLC CSD-RANCHO SD LIBRARY ","11555  Via Rancho San Diego",NULL,"PHOTOVOLTAIC","C/O BARCLAY DAMON LLP",NULL,"Audrey Merged",NULL
"CALIFORNIA PV ENERGY 3 LLC CSD-RANCHO SD SHERIFF ","11486  Campo Rd",NULL,"PHOTOVOLTAIC","C/O BARCLAY DAMON LLP",NULL,"Audrey Merged",NULL
"CALIFORNIA PV ENERGY 3 LLC VISTA USD-ADMINISTRATION SERVICES CENTER","1234  Arcadia Ave",NULL,"PHOTOVOLTAIC","C/O BARCLAY DAMON LLP",NULL,"Audrey Merged",NULL
"CALIFORNIA PV ENERGY 3 LLC VISTA USD-ALAMOSA PARK ES ","5130  Alamosa Park Dr",NULL,"PHOTOVOLTAIC","C/O BARCLAY DAMON LLP",NULL,"Audrey Merged",NULL
"CALIFORNIA PV ENERGY 3 LLC VISTA USD-CALIFORNIA AVE ES ","215 W California Ave",NULL,"PHOTOVOLTAIC","C/O BARCLAY DAMON LLP",NULL,"Audrey Merged",NULL
"CALIFORNIA PV ENERGY 3 LLC VISTA USD-EMPRESA ES ","4850  Avenida Empresa",NULL,"PHOTOVOLTAIC","C/O BARCLAY DAMON LLP",NULL,"Audrey Merged",NULL
"CALIFORNIA PV ENERGY 3 LLC VISTA USD-FOOTHILL OAK ES ","1370  Oak Dr",NULL,"PHOTOVOLTAIC","C/O BARCLAY DAMON LLP",NULL,"Audrey Merged",NULL
"CALIFORNIA PV ENERGY 3 LLC VISTA USD-GRAPEVINE ES ","630  Grapevine Rd",NULL,"PHOTOVOLTAIC","C/O BARCLAY DAMON LLP",NULL,"Audrey Merged",NULL
"CALIFORNIA PV ENERGY 3 LLC VISTA USD-HANNALEI ES ","120  Hannalei Dr",NULL,"PHOTOVOLTAIC","C/O BARCLAY DAMON LLP",NULL,"Audrey Merged",NULL
"CALIFORNIA PV ENERGY 3 LLC VISTA USD-LAKE ES ","4950  Lake Blvd",NULL,"PHOTOVOLTAIC","C/O BARCLAY DAMON LLP",NULL,"Audrey Merged",NULL
"CALIFORNIA PV ENERGY 3 LLC VISTA USD-MADISON MS ","4930  Lake Blvd",NULL,"PHOTOVOLTAIC","C/O BARCLAY DAMON LLP",NULL,"Audrey Merged",NULL
